trace_id,timestamp,question,answer,latency,mode,refused,refusal_reason,confidence,cache_hit,num_documents,prompt_tokens,completion_tokens,total_tokens,faithfulness_estimate,context_relevance_estimate
a6f2c4c1-ebb2-48dc-9cf5-95e07844ae4d,2026-05-11T02:20:12.960939+00:00,公司的年假政策是什么？,"根据员工手册的规定，公司的年假政策如下：（来源：employee_handbook.txt, 页码: 1）

1. 工龄1-5年的员工：每年享有10天年假
2. 工龄6-10年的员工：每年享有15天年假
3. 工龄11年以上的员工：每年享有20天年假

年假应在当年内使用完毕。如因工作原因未能休完，经部门主管批准可延期至次年第一季度。",4.611056327819824,default,False,,1.0,False,4,1067,42,1109,1.0,0.0296
49038308-3184-49a8-ae5e-c5df835c3aca,2026-05-11T02:32:37.537923+00:00,公司的年假政策是什么？,"根据员工手册的规定，公司的年假政策如下（来源: employee_handbook.txt, 页码: 1）：

1. 员工根据工龄享有不同天数的年假：
   - 工龄1-5年：每年10天年假
   - 工龄6-10年：每年15天年假
   - 工龄11年以上：每年20天年假

2. 年假应在当年内使用完毕。如因工作原因未能休完，经部门主管批准可延期至次年第一季度。",5.513264179229736,vector,False,,1.0,False,5,1109,45,1154,1.0,0.0914
40b6a602-c796-4669-8cbf-e517c78be9ed,2026-05-11T02:32:43.507755+00:00,如何申请加班？加班补偿怎么算？,"根据员工手册的规定：

1. 加班申请流程：
- 员工需提前通过OA系统提交加班申请
- 经部门主管批准后方可加班
- 紧急情况下可先加班后补申请，但必须在加班后2个工作日内完成补批手续
（来源：employee_handbook.txt, 页码: 1）

2. 加班补偿标准：
- 工作日加班：按1.5倍工资计算
- 周末加班：按2倍工资计算或安排调休
- 法定节假日加班：按3倍工资计算
（来源：employee_handbook.txt, 页码: 1）",5.964447975158691,vector,False,,1.0,False,5,1117,57,1174,1.0,0.0784
3dfd0276-c047-4bfe-9243-7226a4b6aba4,2026-05-11T02:32:49.490867+00:00,报销流程是什么？,"报销流程如下（来源: employee_handbook.txt, 页码: 1）：

1. 员工需在公司财务系统中提交报销申请，附上相关发票和凭证。报销类别包括：
   - 差旅费
   - 招待费
   - 办公用品费
   - 培训费

2. 部门主管审批（金额≤5000元）

3. 财务部门审核

4. 财务总监审批（金额>5000元）

5. 报销款项在审批通过后5个工作日内到账",5.979135036468506,vector,False,,1.0,False,5,1109,48,1157,1.0,0.0
d9710121-a49b-4c53-ad98-f3467c3046c1,2026-05-11T02:32:53.566180+00:00,公司的保密协议有什么要求？,"根据检索到的上下文内容，公司的保密协议要求如下：

1. 所有员工在入职时需签署保密协议。
2. 员工不得泄露公司的商业秘密、技术资料和客户信息。
3. 离职后，保密义务仍然持续2年。

来源: employee_handbook.txt, 页码: 1
章节: 5. 保密协议",4.073549032211304,vector,False,,1.0,False,5,1307,34,1341,1.0,0.016
1188e411-e0c1-4c9b-9195-5d213e396ed3,2026-05-11T02:32:58.555951+00:00,What is the data protection policy?,"The data protection policy requires all employees to comply with applicable data protection laws and regulations, including but not limited to:

1. **Personal Information Protection Law (PIPL) of China**
2. **General Data Protection Regulation (GDPR)** where applicable
3. **Company internal data protection policies**

Additionally, the policy includes specific requirements for data handling:

- Personal data must be collected only for specified, explicit, and legitimate purposes.
- Data minimiza",4.986340045928955,vector,False,,1.0,False,5,1733,171,1904,1.0,0.2069
42681bbb-2263-43e4-81a6-eb44f23d25aa,2026-05-11T02:33:04.599856+00:00,How to handle a security incident?,"To handle a security incident, follow these steps as outlined in the compliance guide (compliance_guide.txt, Page 1):

1. **Identify**: Determine the nature and scope of the incident.
2. **Contain**: Take immediate steps to prevent further damage.
3. **Assess**: Evaluate the impact and severity of the incident.
4. **Notify**: Inform relevant stakeholders and authorities as required.
5. **Recover**: Restore affected systems and data.
6. **Review**: Conduct a post-incident review and update proced",6.040316820144653,vector,False,,1.0,False,5,1340,180,1520,1.0,0.019
5190df60-5ad3-4c38-bb67-1c2425b7e681,2026-05-11T02:33:08.906937+00:00,数据分为哪几个等级？,"根据合规指南，公司数据分为四个等级：

1. **Public (公开)**: 可以自由共享的信息
2. **Internal (内部)**: 仅限内部使用
3. **Confidential (机密)**: 受限访问，需要授权
4. **Top Secret (绝密)**: 最高等级，访问极为受限

来源: compliance_guide.txt, 页码: 1",4.302365779876709,vector,False,,1.0,False,5,1649,45,1694,0.8571,0.0372
9ec06dd6-b999-4bff-936f-56701ce20efe,2026-05-11T02:33:29.815348+00:00,系统的技术架构是怎样的？,"系统采用微服务架构，主要组件包括：

1. **API Gateway**：作为统一入口，负责请求路由、限流和认证。
2. **核心服务**：
   - User Service（用户管理服务）
   - Order Service（订单处理服务）
   - Payment Service（支付服务）
   - Notification Service（通知服务）
   - Data Service（数据处理服务）
   - Search Service（搜索服务）（来源：architecture_doc.txt, 页码: 1）

3. **通信方式**：
   - 同步调用：使用 gRPC。
   - 异步消息：通过 Kafka 消息队列实现。
   - 服务发现：使用 Consul。（来源：technical_specs.txt, 页码: 1）

4. **技术栈**：
   - 前端：React + TypeScript (18.x)
   - API网关：Kong (3.x)
   - 后端：Python (FastAPI) / Go
   - 数据库：PostgreSQL +",20.90188193321228,vector,False,,1.0,False,5,1580,273,1853,0.9474,0.01
dbdcbebe-feec-4d37-9e7b-be4554fa082a,2026-05-11T02:33:33.503721+00:00,API限流策略是什么？,"API限流策略如下（来源: technical_specs.txt, 页码: 1）：

1. 普通用户: 100次/分钟  
2. VIP用户: 500次/分钟  
3. 内部服务: 2000次/分钟  
4. 超出限制将返回 HTTP 429 Too Many Requests",3.6842198371887207,vector,False,,1.0,False,5,1243,35,1278,1.0,0.0346
